x-axis,1
second,Volt
+5.7400000E-06,-585.3392034769E-03
+5.7405000E-06,-585.3392034769E-03
+5.7410000E-06,-583.8316658046E-03
+5.7415000E-06,-577.2990025580E-03
+5.7420000E-06,-577.2990025580E-03
+5.7425000E-06,-577.2990025580E-03
+5.7430000E-06,-577.2990025580E-03
+5.7435000E-06,-577.2990025580E-03
+5.7440000E-06,-577.2990025580E-03
+5.7445000E-06,-577.2990025580E-03
+5.7450000E-06,-577.2990025580E-03
+5.7455000E-06,-577.2990025580E-03
+5.7460000E-06,-579.8115653452E-03
+5.7465000E-06,-585.3392034769E-03
+5.7470000E-06,-585.3392034769E-03
+5.7475000E-06,-585.3392034769E-03
+5.7480000E-06,-585.3392034769E-03
+5.7485000E-06,-585.3392034769E-03
+5.7490000E-06,-585.3392034769E-03
+5.7495000E-06,-585.3392034769E-03
+5.7500000E-06,-585.3392034769E-03
+5.7505000E-06,-585.3392034769E-03
+5.7510000E-06,-585.3392034769E-03
+5.7515000E-06,-583.3291532472E-03
+5.7520000E-06,-577.2990025580E-03
+5.7525000E-06,-577.2990025580E-03
+5.7530000E-06,-577.2990025580E-03
+5.7535000E-06,-577.2990025580E-03
+5.7540000E-06,-577.2990025580E-03
+5.7545000E-06,-579.8115653452E-03
+5.7550000E-06,-585.3392034769E-03
+5.7555000E-06,-585.3392034769E-03
+5.7560000E-06,-583.3291532472E-03
+5.7565000E-06,-577.2990025580E-03
+5.7570000E-06,-577.2990025580E-03
+5.7575000E-06,-577.2990025580E-03
+5.7580000E-06,-577.2990025580E-03
+5.7585000E-06,-577.2990025580E-03
+5.7590000E-06,-579.8115653452E-03
+5.7595000E-06,-583.3291532472E-03
+5.7600000E-06,-577.2990025580E-03
+5.7605000E-06,-577.2990025580E-03
+5.7610000E-06,-577.2990025580E-03
+5.7615000E-06,-577.2990025580E-03
+5.7620000E-06,-577.2990025580E-03
+5.7625000E-06,-577.2990025580E-03
+5.7630000E-06,-577.2990025580E-03
+5.7635000E-06,-579.8115653452E-03
+5.7640000E-06,-585.3392034769E-03
+5.7645000E-06,-585.3392034769E-03
+5.7650000E-06,-585.3392034769E-03
+5.7655000E-06,-585.3392034769E-03
+5.7660000E-06,-585.3392034769E-03
+5.7665000E-06,-585.3392034769E-03
+5.7670000E-06,-585.3392034769E-03
+5.7675000E-06,-585.3392034769E-03
+5.7680000E-06,-585.3392034769E-03
+5.7685000E-06,-585.3392034769E-03
+5.7690000E-06,-585.3392034769E-03
+5.7695000E-06,-585.3392034769E-03
+5.7700000E-06,-583.3291532472E-03
+5.7705000E-06,-577.2990025580E-03
+5.7710000E-06,-577.2990025580E-03
+5.7715000E-06,-577.2990025580E-03
+5.7720000E-06,-577.2990025580E-03
+5.7725000E-06,-577.2990025580E-03
+5.7730000E-06,-577.2990025580E-03
+5.7735000E-06,-577.2990025580E-03
+5.7740000E-06,-577.2990025580E-03
+5.7745000E-06,-577.2990025580E-03
+5.7750000E-06,-577.2990025580E-03
+5.7755000E-06,-577.2990025580E-03
+5.7760000E-06,-577.2990025580E-03
+5.7765000E-06,-577.2990025580E-03
+5.7770000E-06,-577.2990025580E-03
+5.7775000E-06,-577.2990025580E-03
+5.7780000E-06,-577.2990025580E-03
+5.7785000E-06,-579.8115653452E-03
+5.7790000E-06,-585.3392034769E-03
+5.7795000E-06,-585.3392034769E-03
+5.7800000E-06,-585.3392034769E-03
+5.7805000E-06,-585.3392034769E-03
+5.7810000E-06,-583.3291532472E-03
+5.7815000E-06,-577.2990025580E-03
+5.7820000E-06,-577.2990025580E-03
+5.7825000E-06,-577.2990025580E-03
+5.7830000E-06,-577.2990025580E-03
+5.7835000E-06,-577.2990025580E-03
+5.7840000E-06,-577.2990025580E-03
+5.7845000E-06,-579.8115653452E-03
+5.7850000E-06,-585.3392034769E-03
+5.7855000E-06,-585.3392034769E-03
+5.7860000E-06,-585.3392034769E-03
+5.7865000E-06,-585.3392034769E-03
+5.7870000E-06,-585.3392034769E-03
+5.7875000E-06,-585.3392034769E-03
+5.7880000E-06,-585.3392034769E-03
+5.7885000E-06,-585.3392034769E-03
+5.7890000E-06,-583.3291532472E-03
+5.7895000E-06,-577.2990025580E-03
+5.7900000E-06,-577.2990025580E-03
+5.7905000E-06,-577.2990025580E-03
+5.7910000E-06,-577.2990025580E-03
+5.7915000E-06,-577.2990025580E-03
+5.7920000E-06,-577.2990025580E-03
+5.7925000E-06,-577.2990025580E-03
+5.7930000E-06,-577.2990025580E-03
+5.7935000E-06,-577.2990025580E-03
+5.7940000E-06,-577.2990025580E-03
+5.7945000E-06,-577.2990025580E-03
+5.7950000E-06,-577.2990025580E-03
+5.7955000E-06,-577.2990025580E-03
+5.7960000E-06,-577.2990025580E-03
+5.7965000E-06,-577.2990025580E-03
+5.7970000E-06,-579.8115653452E-03
+5.7975000E-06,-585.3392034769E-03
+5.7980000E-06,-585.3392034769E-03
+5.7985000E-06,-585.3392034769E-03
+5.7990000E-06,-585.3392034769E-03
+5.7995000E-06,-585.3392034769E-03
+5.8000000E-06,-585.3392034769E-03
+5.8005000E-06,-585.3392034769E-03
+5.8010000E-06,-585.3392034769E-03
+5.8015000E-06,-585.3392034769E-03
+5.8020000E-06,-583.3291532472E-03
+5.8025000E-06,-579.8115653452E-03
+5.8030000E-06,-585.3392034769E-03
+5.8035000E-06,-585.3392034769E-03
+5.8040000E-06,-585.3392034769E-03
+5.8045000E-06,-585.3392034769E-03
+5.8050000E-06,-585.3392034769E-03
+5.8055000E-06,-585.3392034769E-03
+5.8060000E-06,-585.3392034769E-03
+5.8065000E-06,-585.3392034769E-03
+5.8070000E-06,-585.3392034769E-03
+5.8075000E-06,-585.3392034769E-03
+5.8080000E-06,-585.3392034769E-03
+5.8085000E-06,-585.3392034769E-03
+5.8090000E-06,-585.3392034769E-03
+5.8095000E-06,-585.3392034769E-03
+5.8100000E-06,-585.3392034769E-03
+5.8105000E-06,-585.3392034769E-03
+5.8110000E-06,-585.3392034769E-03
+5.8115000E-06,-585.3392034769E-03
+5.8120000E-06,-585.3392034769E-03
+5.8125000E-06,-585.3392034769E-03
+5.8130000E-06,-585.3392034769E-03
+5.8135000E-06,-585.3392034769E-03
+5.8140000E-06,-585.3392034769E-03
+5.8145000E-06,-585.3392034769E-03
+5.8150000E-06,-585.3392034769E-03
+5.8155000E-06,-583.3291532472E-03
+5.8160000E-06,-577.2990025580E-03
+5.8165000E-06,-577.2990025580E-03
